sID	Condition	Strength	Level	Unstable_label	Unstable_col	rating_stable	rating_unstable	Desktop_Confirmation	Attention_Confirmation	Age	Sex	Justification	Efficacy_check	Variability_check	Technical_issues	Duration (sek)	scenario_check
532	1	ten	government	Zyphranol	blue	86	31	1	1	23	1	Given that blood compositions are evenly distributed in the population, Alcetryne has a high efficacy rate on only four of the blood compositions and close to 0% efficacy on the other blood compositions. Given that blood compositions are evenly distributed in the population, this medicine would be ineffective at preventing death through early treatment.	6	2	-99	670	incorrect
534	1	ten	government	Zyphranol	blue	95	80	1	1	29	2	Alcetyne looks to affect less people on the graph presented	6	3	n/a	457	incorrect
537	1	ten	government	Zyphranol	blue	73	69	1	1	23	1	Every little helps. For example, doing push ups, jogging, going for a run and all other sorts of physical activities can help contribute to a more healthier lifestyle. With medicine A, it at least helps to provide some sort of impact to patients, regardless of their blood composition.    Medicine Z on the other hand only has major impacts for certain blood compositions. Ordering medicine Z would only be worthwhile for those able to be treated.	6	1	-99	299	correct
539	1	ten	government	Zyphranol	blue	78	34	1	1	22	3	Well ideally, they'd be able to order both. Either way too many people are going to die, so I thought to go for the one that's relatively stable and doesn't have dramatic spikes occasionally and is almost ineffective most of the rest of the time.	6	1	No errors :)	227	correct
541	1	ten	government	Zyphranol	blue	91	4	1	1	25	1	I would rather go with the option that has a fixed percentage of 10%. Patients will have an equal probability of living.	6	1	-99	438	correct
543	1	ten	government	Zyphranol	blue	100	57	1	1	18	1	although zyphranol has a higher chance to treat the illness in some cases it also has a higher chance to fail where as Alcetyne has a consistent 10% in treating the illness and i believe that it is up to the patient to decide on the one that has a higher success rate and failure rate or the one that is consistent but still has a high chance to fail	6	1	-99	468	correct
546	1	ten	government	Zyphranol	blue	100	13	1	1	27	1	The risk of losing more patients is not as high as with one medicine as its effectiveness isn't solely based on blood composition like the second medicine.	6	1	-99	530	correct
547	1	ten	government	Zyphranol	blue	86	43	1	1	37	1	one drug gives an even chance to all but if blood type is known the other drug could be more effective in some cases	6	1	-99	227	correct
552	1	ten	government	Zyphranol	blue	28	77	1	1	22	2	10% is a low success rate for treatment, so I did not think it worthwhile to chose the drug that uniformly offers that probability of curing the disease, across all people. It is not a very hopeful perspective. In contrast, the other drug looked very promising for a considerable amount of people and it is worth giving them a stronger chance.	6	1	-99	246	correct
553	1	ten	government	Zyphranol	blue	84	65	1	1	31	1	Because Alcetyne is more stable and consistent whereas Zyphranol is very varied depending on the blood etc. much more unpredictable	6	1	-99	162	correct
555	1	ten	government	Zyphranol	blue	37	76	1	1	45	1	It looks like from the graph Zyphronal could be more effective to help	6	3	-99	393	incorrect
559	1	ten	government	Zyphranol	blue	80	45	1	1	20	2	The medicine that only affects a certain percentage of the population with a specific blood type is not inclusive, therefore the government should order the medicine that allows all people the equal chance of treatment despite blood composition	6	1	N/A	309	correct
560	1	ten	government	Zyphranol	blue	100	13	1	1	27	2	Although the chances are the same for n=both these medicines. The Z has a lesser than 10% chance to save people with a certain blood type and its different with A.	4	3	-99	1602	incorrect
561	1	ten	government	Zyphranol	blue	67	20	1	1	26	2	Because the overall percentage for the second drug was higher than the first one. The first drug averaged at 10% only due to the fact that there were random spikes of probability from few blood types, but if you were to look at the chart as a whole this drug was less than 10% effective on a larger percentage of people then the second. The second drug is more effective for more for a larger number of people.	6	1	-99	546	correct
562	1	ten	government	Zyphranol	blue	78	32	1	1	50	2	The chances of saving more people is more consistent with the second drug. The first drug, Z, will save only more with a certain blood composition, but not more people in general.	6	1	-99	319	correct
564	1	ten	government	Zyphranol	blue	31	84	1	1	29	1	I believe that the government should order Zyphranol because of how significantly higher the chances of survival are for people who have specific blood compositions, of which, according to the graph, were fairly abundant with a survival rate of over 75%. I think that this outweighs the low chance of survival that both drugs offer (10%), and that ultimately Zyphranol would save more lives overall.	6	1	-99	418	correct
567	1	ten	government	Zyphranol	blue	92	10	1	1	29	2	It seems morally fair to give everyone in society an equal shot at overcoming the disease, however in an ideal world, both would be available, and those with compatible blood compositions would take Zyphanol	6	1	n/a	264	correct
568	1	ten	government	Zyphranol	blue	100	100	1	1	22	2	I don't see why both medications shouldn't be ordered. Either they can be used in tandem or tests can be done to determine the right drug for the patient. If there is a case where this couldn't be done then the drug with the more consistent outcome should be chosen.	6	1	-99	310	correct
573	1	ten	government	Zyphranol	blue	71	30	1	1	31	2	I'm not confident in my decision, but feel that the medication that offers a 10% chance of survival regardless of blood composition provides a better chance for the majority of people in the country.	6	1	-99	438	correct
